20190118_1_xls-data.xls;18.01.2019: Änderung des Asylgesetzes (Gesetzentwurf der BReg)
20181213-data.xls;13.12.2018: Solidaritätszuschlag
20181130_1_xls-data.xls;30.11.2018: Globaler Pakt für Migration
20181129_6_xls-data.xls;29.11.2018: Änderung des Tierschutzgesetzes
20181129_5_xls-data.xls;29.11.2018: Mietrechtsanpassung - Änderungsantrag Bündnis 90/Die Grünen
20181129_4_xls-data.xls;29.11.2018: Mietrechtsanpassung - Änderungsantrag Die Linke.
20181129_3_xls-data.xls;29.11.2018: Steuerlichen Förderung des Mietwohnungsneubaus - Änderungsantrag Bündnis 90/Die Grünen
20181129_2_xls-data.xls;29.11.2018: Globaler Pakt für Migration
20181129_1_xls-data.xls;29.11.2018: Änderung des Grundgesetzes - Bildung, Bau, Verkehr
20181123_1_xls-data.xls;23.11.2018: Änderungsantrag FDP zu Haushaltsgesetz 2019 - Einzelplan 60
20181123_3_xls-data.xls;23.11.2018: Entschließungsantrag FDP zu Haushaltsgesetz 2019
20181123_2_xls-data.xls;23.11.2018: Haushaltsgesetz 2019
20181121_1_xls-data.xls;21.11.2018: Beschlussempfehlungen zu Haushaltsgesetz 2019 - Einzelplan 04
20181108_1_xls-data.xls;08.11.2018: Gesetzliche Rentenversicherung
20181108_3_xls-data.xls;08.11.2018: Familienentlastungsgesetz, Änderungsantrag der Fraktion der AfD
20181108_2_xls-data.xls;08.11.2018: Zwei-Prozent-Rüstungsziel der NATO
20181108_6_xls-data.xls;08.11.2018: Vermeidung von Umsatzsteuerausfällen - Änderungsantrag der Fraktion der FDP
20181108_4_xls-data.xls;08.11.2018: Familienentlastungsgesetz, Änderungsantrag der Fraktion der FDP
20181108_5_xls-data.xls;08.11.2018: Vermeidung von Umsatzsteuerausfällen - Änderungsantrag der Fraktion der FDP
20181019_3_xls-data.xls;19.10.2018: Menschenrecht auf Religionsfreiheit - Beschlussempfehlung zu Antrag AfD
20181019_2_xls-data.xls;19.10.2018: Menschenrecht auf Religionsfreiheit - Antrag Bündnis 90/Die Grünen
20181019_1_xls-data.xls;19.10.2018: Menschenrecht auf Religionsfreiheit - Antrag CDU/CSU und SPD
20181019_4_xls-data.xls;19.10.2018: Jahresmittelgrenzwert für Stickoxid
20181018_3_xls-data.xls;18.10.2018: Brückenteilzeit - Änderungsantrag Bündnis 90/Die Grünen
20181018_2_xls-data.xls;18.10.2018: Änderung des Asylgesetzes - Gesetzentwurf FDP
20181018_6_xls-data.xls;18.10.2018: Kindergeld für im Ausland lebende Kinder
20181018_4_xls-data.xls;18.10.2018: Bundeswehreinsatz zur Bekämpfung des IS-Terrors (Antrag der
Bundesregierung)
20181018_1_xls-data.xls;18.10.2018: Änderung des Asylgesetzes - Änderungsantrag FDP
20181018_5_xls-data.xls;18.10.2018: Bundeswehreinsatz zur Bekämpfung des IS-Terrors (Beschlussempfehlung zum Antrag der AfD-Fraktion)
20180705_1_xls-data.xls;05.07.2018: Haushaltsgesetz 2018
20180704_3_xls-data.xls;04.07.2018: Geschäftsbereich des Bundesministeriums der Verteidigung (Änderungsantrag Die Linke)
20180704_2_xls-data.xls;04.07.2018: Geschäftsbereich des Bundesministeriums der Verteidigung (Änderungsantrag FDP)
20180704_1_xls-data.xls;04.07.2018: Geschäftsbereich der Bundeskanzlerin und des Bundeskanzleramtes
20180629_xls-data.xls;29.06.2018: Finanzhilfen zugunsten Griechenlands
20180628_3_xls-data.xls;28.06.2018: Bundesweit abgestimmtes Wolfsmanagement
20180628_1_xls-data.xls;28.06.2018: Sanktionen bei Hartz IV und Sozialhilfe (Antrag der Fraktion Die Linke)
20180628_2_xls-data.xls;28.06.2018: Sanktionen bei Hartz IV und Sozialhilfe (Antrag der Fraktion Bündnis 90/Die Grünen)
20180615_3_xls-data.xls;15.06.2018: Familiennachzug zu subsidiär Schutzberechtigten (Entschließungsantrag der AfD-Fraktion)
20180615_1_xls-data.xls;15.06.2018: Änderung des Parteiengesetzes
20180615_2_xls-data.xls;15.06.2018: Familiennachzug zu subsidiär Schutzberechtigten (Gesetzentwurf der Bundesregierung)
20180615_4_xls-data.xls;15.06.2018: Familiennachzug zu subsidiär Schutzberechtigten (Entschließungsantrag der FDP-Fraktion)
20180614_3_xls-data.xls;14.06.2018: Bundeswehreinsatz im Libanon (UNIFIL)
20180614_1_xls-data.xls;14.06.2018: Handelsabkommen mit Kanada und Japan
20180614_4_xls-data.xls;14.06.2018: Bundeswehreinsatz in Kosovo (KFOR)
20180614_2_xls-data.xls;14.06.2018: Bundeswehreinsatz im Mittelmeer (EUNAVFOR MED)
20180607_1_xls-data.xls;07.06.2018: Mietpreispolitik
20180517_xls-data.xls;17.05.2018: Einspruch gemäß § 39 GO-BT
20180426_1_xls-data.xls;26.04.2018: Bundeswehreinsatz in Mali (MINUSMA)
20180426_2_xls-data.xls;26.04.2018: Bundeswehreinsatz vor Somalia (EU NAVFOR)
